Rk,Player,Team,Salary_2019_to_20,Salary_2020_to_21,Salary_2021_to_22,Salary_2022_to_23,Salary_2023_to_24,Salary_2024_to_25,Signed Using,Guaranteed,Salary_Per_Million
387,Furkan Korkmaz,Philadelphia 76ers,1620564,1762796,,,,,Minimum Salary,1620564,1.620564
388,Jordan Bell,Memphis Grizzlies,1620564,,,,,,,1620564,1.620564
389,Justin Patton,Dallas Mavericks,1620564,,,,,,,1620564,1.620564
390,Royce O'Neale,Utah Jazz,1618520,8035714,8678571,9321429,9964286,,Cap space,37618520,1.61852
391,Dillon Brooks,Memphis Grizzlies,1618520,11400000,12200000,11400000,,,MLE,36618520,1.61852
392,Wesley Iwundu,Orlando Magic,1618520,,,,,,Cap Space,1618520,1.61852
393,Abdel Nader,Oklahoma City Thunder,1618520,1752950,,,,,Cap Space,1618520,1.61852
394,Damyean Dotson,New York Knicks,1618520,,,,,,Minimum Salary,1618520,1.61852
395,Frank Jackson,New Orleans Pelicans,1618520,,,,,,MLE,1618520,1.61852
396,Sterling Brown,Milwaukee Bucks,1618520,,,,,,MLE,1618520,1.61852
397,Dwayne Bacon,Charlotte Hornets,1618520,,,,,,MLE,1618520,1.61852
398,Semi Ojeleye,Boston Celtics,1618520,1752950,,,,,Cap space,1618520,1.61852
399,Chris Boucher,Toronto Raptors,1588231,,,,,,Minimum Salary,1588231,1.588231
400,Malcolm Miller,Toronto Raptors,1588231,,,,,,Minimum Salary,1588231,1.588231
401,Monte Morris,Denver Nuggets,1588231,1663861,,,,,Minimum Salary,1588231,1.588231
402,Mitchell Robinson,New York Knicks,1559712,1663861,1802057,,,,MLE,1559712,1.559712
403,Vlatko Čančar,Denver Nuggets,1517981,898310,1782621,,,,MLE,2416291,1.517981
404,Isaiah Roby,Oklahoma City Thunder,1500000,1517981,1782621,1930681,,,MLE,3017981,1.5
405,Nigel Williams-Goss,Utah Jazz,1500000,1517981,1782621,,,,Cap Space,1500000,1.5
406,J.R. Smith,Cleveland Cavaliers,1456667,1456667,1456666,,,,,4370000,1.456667
407,Shake Milton,Philadelphia 76ers,1445697,1701593,1846738,1997718,,,Cap Space,4994028,1.445697
408,Thanasis Antetokounmpo,Milwaukee Bucks,1445697,1701593,,,,,Minimum Salary,3147290,1.445697
409,Amile Jefferson,Orlando Magic,1445697,,,,,,,1445697,1.445697
410,Theo Pinson,Brooklyn Nets,1445697,1701593,,,,,Minimum Salary,1445697,1.445697
411,Brad Wanamaker,Boston Celtics,1445697,,,,,,Minimum Salary,1445697,1.445697
412,Derrick Walton,Atlanta Hawks,1445697,,,,,,,1445697,1.445697
413,Ryan Broekhoff,Dallas Mavericks,1443842,,,,,,,1443842,1.443842
414,Gary Trent,Portland Trailblazers,1416852,1663861,,,,,MLE,3080713,1.416852
415,Isaac Bonga,Washington Wizards,1416852,1663861,,,,,Cap Space,1416852,1.416852
416,Chimezie Metu,San Antonio Spurs,1416852,1663861,,,,,MLE,1416852,1.416852
417,Jevon Carter,Phoenix Suns,1416852,,,,,,Minimum Salary,1416852,1.416852
418,Elie Okobo,Phoenix Suns,1416852,1663861,1802057,,,,Cap Space,1416852,1.416852
419,Melvin Frazier,Orlando Magic,1416852,1663861,,,,,MLE,1416852,1.416852
420,Deonte Burton,Oklahoma City Thunder,1416852,1663861,,,,,Minimum Salary,1416852,1.416852
421,Hamidou Diallo,Oklahoma City Thunder,1416852,1663861,,,,,MLE,1416852,1.416852
422,Kenrich Williams,New Orleans Pelicans,1416852,,,,,,Minimum Salary,1416852,1.416852
423,Jarred Vanderbilt,Minnesota Timberwolves,1416852,1663861,,,,,Cap Space,1416852,1.416852
424,Duncan Robinson,Miami Heat,1416852,1663861,,,,,MLE,1416852,1.416852
425,Kendrick Nunn,Miami Heat,1416852,1663861,,,,,Minimum Salary,1416852,1.416852
426,De'Anthony Melton,Memphis Grizzlies,1416852,,,,,,Cap Space,1416852,1.416852
427,Alize Johnson,Indiana Pacers,1416852,,,,,,Minimum Salary,1416852,1.416852
428,Isaiah Hartenstein,Houston Rockets,1416852,1663861,,,,,MLE,1416852,1.416852
429,Sviatoslav Mykhailiuk,Detroit Pistons,1416852,1663861,,,,,Cap Space,1416852,1.416852
430,Bruce Brown,Detroit Pistons,1416852,1663861,,,,,MLE,1416852,1.416852
431,Keita Bates-Diop,Denver Nuggets,1416852,1663861,,,,,MLE,1416852,1.416852
432,Devonte' Graham,Charlotte Hornets,1416852,1663861,,,,,MLE,1416852,1.416852
433,Jalen Brunson,Dallas Mavericks,1416582,1663861,1802057,,,,Cap Space,3080443,1.416582
434,Bruno Fernando,Atlanta Hawks,1400000,1517981,1782621,,,,Cap space,4700602,1.4
435,Jaylen Nowell,Minnesota Timberwolves,1400000,1517981,1782621,1930681,,,MLE,1400000,1.4
436,Alfonzo McKinnie,Cleveland Cavaliers,1361046,1762796,1910860,2165298,,,MLE,2253031,1.361046
437,Kevin Porter,Cleveland Cavaliers,1290960,2033160,2130240,3845083,,,1st Round Pick,3324120,1.29096
